Length Nd Nstep RMSEp RMSEc
2  4  42  0.8937 0.1367
2  8  56  0.5441 0.0489
2  16 75  0.5128 0.0101
2  32 106 0.4522 0.1140
4  4  20  0.5641 0.1824
4  8  27  0.6295 0.1072
4  16 34  0.4192 0.0010
4  32 46  0.4845 0.1056
6  4  13  0.6233 0.2577 
6  8  19  0.6010 0.0669
6  16 21  0.4783 0.1467
6  32 28  0.5655 0.2217
