Length Nd Nstep RMSEp RMSEc
2  4  43  0.5615 0.0878
2  8  60  0.4792 0.0747
2  16 68  0.5166 0.0435
2  32 109 0.5142 0.1043
4  4  19  0.5484 0.1364
4  8  23  0.5477 0.1159
4  16 32  0.4824 0.0227
4  32 50  0.4567 0.1278
6  4  11  0.6772 0.3109 
6  8  23  0.6809 0.0422
6  16 22  0.6499 0.1431
6  32 31  0.5391 0.2695
