Length Nd Nstep RMSEp RMSEc
2  4  45  0.8245 0.1418
2  8  60  0.5420 0.1030
2  16 70  0.5153 0.0649
2  32 95  0.5357 0.0774
4  4  20  0.5596 0.1654
4  8  27  0.7056 0.1730
4  16 27  0.6702 0.0295
4  32 41  0.4935 0.1168
6  4  12  0.9458 0.3394 
6  8  23  0.5582 0.0414
6  16 25  0.4373 0.1366
6  32 28  0.6071 0.2566
