step	best_direction	RMSD	Rg	Energy
61.000000	5.000000	3.634548	7.664377	-465.211800
62.000000	6.000000	4.288918	7.668755	60.964500
63.000000	5.000000	4.385034	7.017294	-200.709400
64.000000	3.000000	4.414707	7.008395	-1803.118300
65.000000	3.000000	4.165972	6.957522	397.555400
66.000000	5.000000	4.579676	6.889827	156.693600
67.000000	5.000000	4.566296	6.986083	-1971.594400
68.000000	3.000000	4.404281	6.912514	-381.219100
69.000000	4.000000	4.545399	6.928397	-442.579900
70.000000	4.000000	4.450119	7.102665	-853.144000
71.000000	2.000000	4.268632	6.979549	-1132.180900
72.000000	3.000000	4.346904	6.885852	-1165.939500
73.000000	2.000000	4.496821	6.982905	-762.749500
74.000000	7.000000	4.554057	6.932959	-972.990600
75.000000	6.000000	4.493466	6.835528	-625.946000
76.000000	1.000000	4.553194	6.990795	-513.646700
77.000000	2.000000	4.548150	7.097127	-1639.767600
78.000000	5.000000	4.627768	7.013506	-1595.184300
79.000000	6.000000	4.271123	7.017757	-673.145600
80.000000	2.000000	4.778004	7.049999	-1278.931000
81.000000	6.000000	4.478198	7.075565	-1369.687900
82.000000	6.000000	4.276780	7.055543	-2524.637000
83.000000	7.000000	4.558472	6.952167	-1426.428900
84.000000	5.000000	4.556165	7.005847	-217.651000
85.000000	2.000000	4.640530	6.948712	-2230.490500
86.000000	1.000000	4.567790	6.902593	-331.060100
87.000000	2.000000	4.572668	7.104322	-1207.245800
88.000000	3.000000	4.677467	7.083958	-985.082800
89.000000	1.000000	4.543595	6.950341	-1544.347200
90.000000	4.000000	4.489743	6.799841	-165.487000
91.000000	7.000000	4.729937	7.137657	-2332.671200
92.000000	5.000000	4.500856	6.983709	-677.322300
93.000000	2.000000	4.436378	6.882695	-292.043300
94.000000	4.000000	4.585045	7.015822	-2174.299400
95.000000	3.000000	4.453414	6.964790	79.375600
96.000000	4.000000	4.554462	6.861091	-325.436100
97.000000	7.000000	4.509689	7.000676	-1318.538900
98.000000	3.000000	4.412321	6.930344	-185.670900
99.000000	4.000000	4.498193	6.938836	-413.465100
100.000000	3.000000	10.195070	13.397823	-2721.443300
101.000000	7.000000	9.790452	12.993262	-2850.993200
102.000000	4.000000	9.351590	12.631422	-3346.201400
103.000000	6.000000	7.763560	10.809072	-1199.189500
104.000000	4.000000	7.085635	10.375854	-2612.605700
105.000000	8.000000	5.411497	9.660071	-650.494500
106.000000	6.000000	5.177874	9.745930	-2968.842600
107.000000	4.000000	4.435962	9.134714	-2361.947000
108.000000	1.000000	4.177883	8.834574	-1896.836000
109.000000	6.000000	4.559099	8.385553	191.816700
110.000000	2.000000	2.909662	8.215487	88.554700
111.000000	5.000000	3.264371	8.220918	-2446.960100
112.000000	7.000000	2.464002	7.659213	-2164.828800
113.000000	2.000000	2.116387	7.511023	507.296400
114.000000	8.000000	2.011987	7.500786	-7.468400
115.000000	5.000000	2.047847	7.427336	167.184400
116.000000	4.000000	1.726454	7.184238	-1469.094300
117.000000	5.000000	2.599512	7.720331	-2841.166300
118.000000	5.000000	2.930316	8.013874	-1818.728800
119.000000	1.000000	2.647250	7.812893	-2631.476600
120.000000	8.000000	2.702227	7.773695	-3001.457500
121.000000	2.000000	2.364282	7.666268	-2021.404700
122.000000	6.000000	2.367212	7.528411	-798.828500
123.000000	8.000000	1.986978	7.443530	90.803100
124.000000	7.000000	1.801116	7.362756	-2709.376300
125.000000	4.000000	2.491639	7.684417	-2070.118500
126.000000	2.000000	2.679702	7.729594	-229.139400
127.000000	7.000000	2.821593	7.912697	-2391.787400
128.000000	7.000000	2.856575	7.893441	-3157.026700
129.000000	1.000000	2.458200	7.843870	-2774.935500
130.000000	5.000000	2.437479	7.734543	-2246.831300
131.000000	3.000000	4.131656	8.548017	-2686.710400
132.000000	1.000000	4.039281	8.258252	-580.442300
133.000000	7.000000	5.452208	7.809831	-1229.622500
134.000000	8.000000	5.370970	7.578569	-2361.357500
135.000000	4.000000	4.809657	7.113316	-868.794400
136.000000	1.000000	4.566632	6.917591	-487.731600
137.000000	4.000000	4.481026	6.868704	-165.180400
138.000000	6.000000	4.619518	7.045037	-600.619700
139.000000	2.000000	4.549840	6.865489	-3.614100
140.000000	1.000000	4.567658	6.905203	-1624.215800
141.000000	5.000000	4.707544	7.015586	-825.126200
142.000000	2.000000	4.442315	6.952347	-1962.908000
143.000000	8.000000	4.492507	6.875705	-262.065700
144.000000	2.000000	4.268926	7.040002	-2408.758800
145.000000	1.000000	4.613733	7.031784	-325.631200
146.000000	2.000000	4.528007	6.919123	-1136.511500
147.000000	5.000000	4.522310	7.010555	-844.441900
148.000000	3.000000	4.590489	6.892049	-347.397300
149.000000	8.000000	4.502084	6.812726	-860.240800
150.000000	7.000000	10.282737	13.417899	-2775.080700
151.000000	7.000000	9.702021	12.905703	-3080.132100
152.000000	1.000000	8.986333	12.331271	-3214.078300
153.000000	7.000000	7.162593	10.954144	-1709.865300
154.000000	5.000000	5.303430	9.812568	-1835.877000
155.000000	4.000000	4.610989	9.096621	-1885.646600
156.000000	6.000000	4.454557	8.926599	-2961.458900
157.000000	4.000000	4.088110	8.349761	-1278.665200
158.000000	4.000000	4.628862	7.328667	-1441.981800
159.000000	7.000000	4.678848	7.126183	-2595.527900
160.000000	3.000000	4.590208	6.910436	-1640.947600
161.000000	7.000000	4.696727	7.159125	-1935.197100
162.000000	8.000000	4.597553	7.031684	-1472.102300
163.000000	1.000000	4.483618	6.872406	-405.880100
164.000000	2.000000	4.613015	6.985851	-1256.370100
165.000000	4.000000	4.511842	6.841409	-526.923700
166.000000	4.000000	4.504257	6.991384	-144.469100
167.000000	2.000000	4.845757	7.343737	-540.372100
168.000000	1.000000	4.444936	6.886636	-2165.360400
169.000000	8.000000	4.522441	6.856660	-215.386400
170.000000	2.000000	4.551396	6.834792	-1179.313200
171.000000	5.000000	4.567906	6.969513	-1679.515600
172.000000	4.000000	4.523356	6.850650	-376.004600
173.000000	3.000000	4.396000	7.128568	-1601.207000
174.000000	1.000000	4.500314	7.115626	-376.368600
175.000000	5.000000	4.815567	7.139530	-2228.693800
176.000000	2.000000	4.648892	7.072316	-3077.777800
177.000000	3.000000	4.417757	7.062703	-1757.490400
178.000000	2.000000	4.704791	7.128080	-2067.286200
179.000000	2.000000	4.491385	7.061835	-997.785800
180.000000	5.000000	4.672489	7.031067	-2229.298900
181.000000	1.000000	4.564146	6.990160	-1054.343500
182.000000	7.000000	4.585068	6.935014	-1672.032600
183.000000	6.000000	4.495405	6.831097	187.417100
184.000000	2.000000	4.594378	6.886552	-658.758800
185.000000	2.000000	4.696343	7.040873	-1080.769700
186.000000	2.000000	4.641470	7.021127	-1724.946500
187.000000	8.000000	4.550132	6.958896	-1351.997800
188.000000	1.000000	4.477032	6.812645	-448.238600
189.000000	1.000000	4.518651	6.929775	-909.815900
190.000000	6.000000	4.288159	6.964775	-662.513200
191.000000	4.000000	4.281087	6.946139	1320.621300
192.000000	8.000000	4.611816	6.886648	105.262100
193.000000	4.000000	4.587757	6.912949	-636.541900
194.000000	3.000000	4.786467	7.118696	-1291.922700
195.000000	2.000000	4.673192	7.037672	-2323.688500
196.000000	3.000000	4.569060	7.014453	-1682.859400
197.000000	5.000000	4.414391	6.887825	-1459.169100
198.000000	7.000000	4.603833	6.994732	-1269.458100
199.000000	6.000000	4.651117	7.190353	-1201.590500
200.000000	4.000000	10.377159	13.473193	-2610.667000
201.000000	6.000000	9.424573	12.670048	-2636.059800
202.000000	5.000000	9.185242	12.434684	-2675.953400
203.000000	3.000000	7.876700	11.204061	-1764.679400
204.000000	8.000000	6.983392	10.471030	-1648.203300
205.000000	3.000000	5.017216	9.551029	-492.314100
206.000000	6.000000	4.318460	9.011382	-3195.702400
207.000000	7.000000	3.526030	8.378429	-1075.773900
208.000000	2.000000	3.339205	8.159273	-1296.297400
209.000000	4.000000	3.406531	8.177679	-1064.823800
210.000000	1.000000	3.516341	8.238006	-77.885400
211.000000	1.000000	3.396403	8.363856	85.085800
212.000000	1.000000	2.964982	8.207440	-6.221300
213.000000	5.000000	3.642562	8.088002	-678.159800
214.000000	5.000000	5.716160	9.240949	466.787400
215.000000	8.000000	4.006280	8.539854	-1088.743000
216.000000	8.000000	4.278858	8.683735	-680.046400
217.000000	5.000000	4.207720	8.722264	-1398.352500
218.000000	4.000000	4.169715	8.684275	-1510.811900
219.000000	5.000000	4.137114	8.652087	-2047.741000
220.000000	5.000000	3.241146	8.502411	1415.959900
221.000000	3.000000	3.387796	8.398099	-513.152800
222.000000	6.000000	2.899885	7.935656	-2352.754700
223.000000	7.000000	2.422489	7.674276	-1733.445200
224.000000	3.000000	1.644375	7.119638	-1767.832900
225.000000	6.000000	2.310032	7.397763	4279.798700
226.000000	4.000000	4.544115	7.222298	881.329100
227.000000	5.000000	4.657935	7.230001	-894.680600
228.000000	6.000000	4.712116	7.162964	-1666.659600
229.000000	5.000000	4.647467	7.068412	-1807.863000
230.000000	5.000000	4.501379	6.841911	-997.846400
231.000000	1.000000	4.672989	7.029848	-1087.825200
232.000000	4.000000	4.474380	6.872488	-989.372500
233.000000	5.000000	4.556945	6.996767	-312.813900
234.000000	6.000000	4.614371	6.940454	-419.306800
235.000000	2.000000	4.495827	6.906818	-662.571100
236.000000	8.000000	4.660324	7.206451	-1020.349200
237.000000	8.000000	4.833313	7.182251	-1323.669700
238.000000	4.000000	4.679589	6.995012	-1010.392300
239.000000	1.000000	4.695471	7.009481	-2811.648700
240.000000	1.000000	4.515763	7.051139	-1824.421900
241.000000	5.000000	4.550216	6.940108	-1063.022200
242.000000	4.000000	4.364940	6.806012	-65.146100
243.000000	1.000000	4.453052	7.041449	-1312.929400
244.000000	2.000000	4.633650	6.973084	-564.879300
245.000000	5.000000	4.539471	6.949098	-586.734000
246.000000	1.000000	4.595161	6.969944	-911.936600
247.000000	3.000000	4.503962	6.886190	-787.174800
248.000000	8.000000	4.513921	6.846079	-725.001600
249.000000	2.000000	4.519624	6.833119	-193.356300
250.000000	8.000000	10.520926	13.612411	-3044.951000
251.000000	6.000000	9.858037	13.026275	-2752.700400
252.000000	8.000000	8.670665	12.234737	-1485.203700
253.000000	8.000000	8.761066	12.067460	-2081.296900
254.000000	2.000000	7.472629	10.688872	-1853.864100
255.000000	2.000000	5.514949	9.292603	-486.256700
256.000000	3.000000	4.948419	8.051369	-31.793200
257.000000	2.000000	5.002818	7.635092	1284.845600
258.000000	2.000000	4.951913	7.307733	-2914.234000
259.000000	5.000000	4.866207	7.164743	-1825.095000
260.000000	2.000000	4.506543	6.908846	-1392.874300
261.000000	1.000000	4.555942	6.884506	-839.456700
262.000000	1.000000	4.486561	6.857081	1025.330300
263.000000	8.000000	4.508869	6.834163	174.601200
264.000000	5.000000	4.516904	6.943333	-96.992200
265.000000	5.000000	4.623580	7.078311	-2160.203400
266.000000	5.000000	4.361975	7.035174	-96.097300
267.000000	5.000000	4.514746	6.830182	-1771.359400
268.000000	2.000000	4.451399	6.922124	-1398.115300
269.000000	6.000000	4.568794	6.806744	-1142.088300
270.000000	7.000000	4.562211	6.934580	-557.655200
271.000000	2.000000	4.623609	7.064265	-762.518500
272.000000	1.000000	4.718749	7.275606	-2215.714000
273.000000	1.000000	4.489939	6.857744	-238.970200
274.000000	7.000000	4.475958	7.032979	-864.225400
275.000000	8.000000	4.527087	7.058362	-1293.720000
276.000000	2.000000	4.444069	6.860975	-796.622500
277.000000	1.000000	4.202047	7.028434	-565.016100
278.000000	3.000000	4.746617	7.151879	-2171.848300
279.000000	7.000000	4.114428	7.213563	531.591000
280.000000	3.000000	4.413971	7.200374	-1284.762500
281.000000	6.000000	4.480885	6.989486	-1572.467800
282.000000	4.000000	4.937181	7.265477	-1226.459700
283.000000	4.000000	4.445546	7.197202	-1491.186200
284.000000	5.000000	4.391851	7.075495	-1527.356200
285.000000	6.000000	4.376571	7.064232	-1745.633900
286.000000	1.000000	5.184323	7.447051	-861.321500
287.000000	6.000000	5.100407	7.344693	-2858.881700
288.000000	2.000000	4.409841	6.993491	113.193600
289.000000	3.000000	4.576934	7.137310	-409.076300
290.000000	2.000000	4.465261	6.964182	-2122.068200
291.000000	6.000000	4.552994	6.874410	-1370.400800
292.000000	5.000000	4.581104	7.097516	-1863.627000
293.000000	1.000000	4.396897	6.942467	-1324.827600
294.000000	1.000000	4.538858	6.942999	-1135.547400
295.000000	7.000000	4.569120	6.891370	-571.661600
296.000000	5.000000	4.599973	6.881494	-110.653900
297.000000	2.000000	4.477512	6.883626	-663.860700
298.000000	7.000000	4.488356	6.816171	-180.344600
299.000000	4.000000	4.600401	6.988018	-799.636800
300.000000	1.000000	9.889518	13.096036	-3518.427600
301.000000	8.000000	9.227834	12.510913	-2901.906100
302.000000	1.000000	8.888087	12.258387	-2643.620300
303.000000	8.000000	8.524616	11.945313	-2443.526800
304.000000	6.000000	8.502872	11.683160	-2525.674500
305.000000	5.000000	6.952692	9.655250	-271.195000
306.000000	1.000000	6.496104	9.412462	-1005.991900
307.000000	8.000000	6.784787	9.403742	-804.707300
308.000000	1.000000	5.030512	9.056576	-1461.803600
309.000000	2.000000	3.660698	8.345960	-2556.282300
310.000000	5.000000	2.456871	7.800644	-1535.503100
311.000000	7.000000	2.937886	7.540493	1085.908000
312.000000	7.000000	2.664655	7.837889	-367.107800
313.000000	4.000000	2.298022	7.593590	-2091.827400
314.000000	7.000000	2.711325	7.887402	-1408.437300
315.000000	1.000000	2.029600	7.435651	-1674.261600
316.000000	4.000000	1.911780	7.380002	-2189.171700
317.000000	5.000000	1.970595	7.525581	-1519.796000
318.000000	6.000000	2.217551	7.543411	-2592.155900
319.000000	7.000000	2.501343	7.649658	-2649.238000
320.000000	2.000000	2.411044	7.829765	-573.354800
321.000000	2.000000	2.595746	7.794875	1406.091100
322.000000	5.000000	2.329320	7.632253	-1088.713800
323.000000	3.000000	2.483773	7.728775	-2791.743100
324.000000	5.000000	1.782944	7.147599	-1085.071100
325.000000	3.000000	2.177740	8.035525	-2463.876100
326.000000	5.000000	3.067046	8.259831	-975.576600
327.000000	6.000000	3.087572	8.092418	-1637.576100
328.000000	2.000000	2.094395	7.770371	-314.771300
329.000000	5.000000	1.874521	7.327181	-3773.047100
330.000000	4.000000	1.986451	7.399407	-2011.791600
331.000000	2.000000	2.658952	7.658647	-1316.594400
332.000000	4.000000	2.540594	7.742042	-1586.207000
333.000000	6.000000	2.913968	7.274556	-359.190200
334.000000	2.000000	4.257625	7.378110	-469.591400
335.000000	3.000000	4.876103	7.264748	-2449.605700
336.000000	4.000000	4.586428	6.913333	-902.947000
337.000000	3.000000	4.512341	6.906586	-367.478000
338.000000	5.000000	4.335341	6.976958	-633.529100
339.000000	5.000000	4.575155	6.986727	-1218.238100
340.000000	2.000000	4.679508	7.059972	-1256.609000
341.000000	5.000000	4.644907	6.979105	-766.312400
342.000000	3.000000	4.470251	6.860707	-1084.073600
343.000000	4.000000	5.076707	7.300954	-1429.722700
344.000000	4.000000	4.619422	7.129309	-1474.846000
345.000000	4.000000	4.535153	6.967331	-1393.477600
346.000000	4.000000	4.593173	6.968657	-297.510300
347.000000	6.000000	4.582380	6.927830	-787.872800
348.000000	5.000000	4.532426	6.972467	-1555.937900
349.000000	3.000000	4.545281	7.008347	-1046.482800
350.000000	6.000000	4.481133	6.901488	-1295.094500
351.000000	4.000000	4.451352	7.005555	-1259.248900
352.000000	6.000000	4.402318	7.148233	-1973.757800
353.000000	8.000000	4.802485	8.190333	115.355800
354.000000	1.000000	6.396600	9.442298	2086.106500
355.000000	8.000000	5.853864	9.868404	-1025.652400
356.000000	3.000000	7.922010	11.358002	-1319.964100
357.000000	6.000000	9.357052	12.624373	-2731.217300
358.000000	3.000000	9.964390	13.199124	-3079.192900
359.000000	8.000000	10.360730	13.457333	-1140.120100
360.000000	1.000000	10.230940	13.321576	-2397.861500
361.000000	1.000000	10.033707	13.198847	-2492.560600
362.000000	1.000000	9.593146	12.844039	-1201.131300
363.000000	7.000000	10.315481	13.516932	-2805.814100
364.000000	2.000000	10.469579	13.605538	-3548.311200
365.000000	3.000000	10.294859	13.462377	-3281.066800
366.000000	8.000000	10.467865	13.556780	-1983.172700
367.000000	5.000000	10.515808	13.568789	-2547.062500
368.000000	4.000000	9.969826	13.199795	-3103.371600
369.000000	4.000000	10.252835	13.401556	-1367.690300
370.000000	6.000000	10.047676	13.299948	-2785.259700
371.000000	8.000000	10.072354	13.265515	-2822.798400
372.000000	2.000000	10.289712	13.425537	-2991.508400
373.000000	1.000000	10.450858	13.576873	-3640.400500
374.000000	6.000000	10.355885	13.471529	-2176.605900
375.000000	6.000000	10.101122	13.295547	-2293.749800
376.000000	2.000000	10.386717	13.520021	-2642.432400
377.000000	6.000000	10.260475	13.433071	-3201.461100
378.000000	8.000000	10.523601	13.623171	-2236.944400
379.000000	3.000000	10.302124	13.444847	-1190.176100
380.000000	7.000000	10.647003	13.746274	-1892.993600
381.000000	8.000000	10.304018	13.498412	-2413.500700
382.000000	7.000000	10.719576	13.803847	-3000.608000
383.000000	2.000000	10.703749	13.820097	-1749.430100
384.000000	6.000000	10.608168	13.623126	-1190.852000
385.000000	7.000000	10.403977	13.518930	-2713.978500
386.000000	7.000000	10.550773	13.667376	-3353.653200
387.000000	8.000000	10.257188	13.401501	-3656.303900
388.000000	7.000000	10.413153	13.518373	-2373.844700
389.000000	8.000000	10.149162	13.292980	-1833.633700
390.000000	3.000000	10.034037	13.288810	-2098.276900
391.000000	8.000000	10.118237	13.280353	-2813.130900
392.000000	4.000000	10.318484	13.469316	-3401.443400
393.000000	7.000000	10.125791	13.314466	-2221.307500
394.000000	8.000000	10.534965	13.662160	-3091.180900
395.000000	3.000000	10.268182	13.389329	-2137.390600
396.000000	6.000000	10.221234	13.424459	-2402.513500
397.000000	8.000000	10.146738	13.335664	-2488.709100
398.000000	3.000000	10.436864	13.551090	-3639.027100
399.000000	8.000000	10.177594	13.356536	-2873.590900
400.000000	7.000000	4.690807	7.149413	-1804.726400
401.000000	8.000000	5.301989	7.593035	-2160.025700
402.000000	1.000000	5.493696	8.112374	-1494.731600
403.000000	1.000000	5.815616	8.615498	-543.507200
404.000000	3.000000	5.673502	8.568212	-775.226700
405.000000	6.000000	6.035512	8.579044	-733.407000
406.000000	5.000000	5.549630	8.272116	-1883.674700
407.000000	1.000000	4.799539	8.685537	769.636800
408.000000	4.000000	4.392041	9.101439	-1652.718800
409.000000	7.000000	5.310900	9.698571	-1829.196300
410.000000	4.000000	6.013106	9.672510	-453.614500
411.000000	6.000000	6.341161	9.793874	-2059.253700
412.000000	6.000000	7.456991	10.207883	-172.398500
413.000000	4.000000	7.249404	10.838881	-1258.894000
414.000000	6.000000	7.687742	11.551668	407.820700
415.000000	3.000000	8.979156	12.361959	-2053.381900
416.000000	3.000000	9.249371	12.529560	-3038.999100
417.000000	1.000000	9.344139	12.627057	-3788.559000
418.000000	2.000000	8.120400	11.469724	400.819000
419.000000	1.000000	8.034025	11.558987	-2199.120000
420.000000	4.000000	9.076887	12.378036	-3327.759800
421.000000	1.000000	9.698568	12.903730	-2644.235100
422.000000	4.000000	9.713209	12.951969	-2343.921500
423.000000	4.000000	9.950722	13.096058	-2204.180200
424.000000	3.000000	10.042244	13.160553	-2225.752500
425.000000	1.000000	10.104263	13.309630	-2273.118200
426.000000	6.000000	10.305730	13.428212	-2556.852500
427.000000	5.000000	10.420890	13.555529	-2346.214100
428.000000	4.000000	9.736911	13.024106	-2329.003600
429.000000	3.000000	10.084832	13.216661	-2024.989100
430.000000	5.000000	10.129424	13.285901	-2894.707000
431.000000	7.000000	10.729222	13.813760	-2553.938100
432.000000	7.000000	10.352529	13.450665	-1619.868400
433.000000	7.000000	10.456669	13.571940	-2057.181600
434.000000	2.000000	10.418741	13.540351	-2705.149300
435.000000	2.000000	10.194910	13.351915	-2547.150900
436.000000	4.000000	10.543566	13.662386	-2552.169400
437.000000	3.000000	10.696375	13.774391	-1764.108600
438.000000	1.000000	10.205815	13.377217	-3161.481300
439.000000	8.000000	10.524132	13.584439	-2930.435900
440.000000	6.000000	10.655652	13.753754	-2340.207500
441.000000	8.000000	10.576739	13.641921	-2452.615400
442.000000	7.000000	10.562412	13.653692	-2863.813800
443.000000	6.000000	10.277554	13.378283	-1535.507600
444.000000	6.000000	9.713148	12.957084	-2502.060600
445.000000	4.000000	9.925321	13.086776	-2634.431300
446.000000	6.000000	9.985440	13.156473	-3230.983200
447.000000	6.000000	10.620587	13.717662	-3122.708700
448.000000	8.000000	10.222490	13.387920	-3763.133900
449.000000	7.000000	10.021112	13.236874	-2781.043500
450.000000	3.000000	4.774079	7.094881	-1024.496700
451.000000	4.000000	4.664068	7.192692	-1108.951900
452.000000	7.000000	4.983842	7.398321	-2316.617400
453.000000	3.000000	5.380888	8.058809	36.500200
454.000000	5.000000	5.478951	8.108714	-1359.212700
455.000000	3.000000	5.954515	8.378431	-471.094800
456.000000	6.000000	6.112053	8.344372	-792.570800
457.000000	6.000000	6.210407	8.616079	-498.580900
458.000000	2.000000	5.883726	9.095960	-925.582400
459.000000	2.000000	5.732775	9.640442	-1473.389100
460.000000	8.000000	7.133896	10.592467	-1235.690900
461.000000	3.000000	7.800565	11.034792	-2120.782300
462.000000	7.000000	8.164087	11.444442	-2444.145200
463.000000	6.000000	7.210438	11.057077	-1326.093200
464.000000	4.000000	7.200240	11.272852	-1117.445200
465.000000	7.000000	8.028980	11.517262	-1353.875100
466.000000	7.000000	8.990557	12.427138	-1885.442000
467.000000	7.000000	9.013841	12.237260	-1084.793600
468.000000	2.000000	9.709197	12.902843	-2111.051400
469.000000	7.000000	9.263846	12.553050	-2419.668200
470.000000	5.000000	10.190899	13.345239	-1686.372500
471.000000	5.000000	10.036934	13.169745	-2239.662000
472.000000	5.000000	10.269708	13.445959	-3087.971100
473.000000	3.000000	10.728076	13.820872	-1272.584100
474.000000	7.000000	10.607446	13.717151	-4125.065700
475.000000	3.000000	10.455613	13.585227	-2963.241200
476.000000	6.000000	10.380858	13.521693	-3453.445200
477.000000	3.000000	10.226242	13.356004	-1811.595300
478.000000	1.000000	10.299182	13.486732	-1862.244800
479.000000	3.000000	10.404292	13.519177	-1531.649400
480.000000	7.000000	9.962414	13.148166	-3110.287700
481.000000	2.000000	10.107141	13.306664	-3200.950000
482.000000	7.000000	10.557414	13.645855	-3292.464400
483.000000	1.000000	10.384770	13.551270	-2702.447200
484.000000	1.000000	10.607737	13.632897	-1776.297100
485.000000	8.000000	9.797482	13.010303	-3376.449500
486.000000	1.000000	10.315576	13.382351	-1652.773200
487.000000	5.000000	10.246687	13.443221	-3128.636000
488.000000	2.000000	10.504051	13.647798	-3266.323300
489.000000	7.000000	10.518015	13.555506	-2689.906600
490.000000	7.000000	10.589285	13.651307	-3709.734600
491.000000	8.000000	10.023648	13.194458	-3079.270700
492.000000	1.000000	10.083090	13.266630	-2871.867300
493.000000	2.000000	10.551849	13.682114	-2962.394900
494.000000	5.000000	10.209874	13.385943	-3265.591800
495.000000	2.000000	10.433741	13.551985	-2357.316200
496.000000	7.000000	10.062159	13.280415	-2673.411600
497.000000	4.000000	10.709553	13.784636	-2476.580300
498.000000	8.000000	10.447795	13.520042	-1322.325200
499.000000	5.000000	10.441530	13.516346	-2360.861000
500.000000	3.000000	4.754594	7.072411	-1638.997300
501.000000	5.000000	4.794196	7.184010	-1537.292600
502.000000	2.000000	4.306887	7.157206	-1629.212100
503.000000	3.000000	4.590976	7.725913	-597.607800
504.000000	3.000000	6.000456	8.883586	-654.444700
505.000000	1.000000	4.764836	8.513587	379.253500
506.000000	3.000000	4.465669	9.090522	-357.746300
507.000000	5.000000	4.124232	8.911194	-2093.342000
508.000000	3.000000	5.882969	10.014291	-282.209000
509.000000	5.000000	6.139698	10.068973	-906.424900
510.000000	3.000000	6.519366	10.022860	-1740.102400
511.000000	8.000000	6.959988	10.300030	-1386.844800
512.000000	1.000000	7.463041	10.723047	-1324.973100
513.000000	5.000000	7.973353	11.175889	-1699.023000
514.000000	4.000000	7.491166	11.023560	-455.767000
515.000000	7.000000	7.114048	11.040346	-1504.764500
516.000000	6.000000	8.061036	11.718344	-413.089800
517.000000	4.000000	8.440655	11.906112	-960.154500
518.000000	6.000000	9.278346	12.604749	-3266.489800
519.000000	7.000000	9.505112	12.803305	-1795.255400
520.000000	1.000000	10.114868	13.285475	-1386.897900
521.000000	1.000000	10.465745	13.541845	-1446.439900
522.000000	3.000000	10.151536	13.333803	-3087.758900
523.000000	2.000000	10.514314	13.642454	-3143.524800
