step	direction	RMSD(A)	Rg(A)	Energy	CVs_grad
38	1	4.603269474851771	7.1591005	-1768.5694	1373.8438820547567
38	2	4.577239395145122	7.43508	1203.5748	6692.744659666438
38	3	4.763845831659836	7.0691514	-971.5862	4273.51280169363
38	4	4.533910302398254	6.975745	-1384.8844	44343.629717644675
38	5	4.411382593828709	7.444491	849.5028	5553.152672904138
38	6	4.733094368051584	7.158082	80.583	7621.091765793574
38	7	4.581816615174405	7.0298486	-1096.0932	11345.485796783922
38	8	4.537555642444547	6.9827757	-124.7459	26217.959533829147
39	1	4.2338934328647895	7.2192364	-516.9346	787.4088585109072
39	2	4.5022086165761515	6.9273777	-915.0215	206.24018089528843
39	3	4.532424249670529	7.0065784	-1307.0992	-1327.7093761223803
39	4	4.5989401911131536	7.280198	-880.7016	328.88794572391845
39	5	4.104587887042549	7.2650027	152.9874	1563.2442685744254
39	6	4.580169589112287	7.0606823	-331.917	4310.711441267992
39	7	4.090550405327873	7.348123	-113.3255	1176.2857699830167
39	8	4.698185259937056	7.1488485	-1588.0909	-5786.471018572589
40	1	4.05598813950793	7.6273537	980.9062	3037.451848428185
40	2	4.582584565635729	6.8670516	-805.0085	3376.5437957434465
40	3	4.467897231671102	6.9581437	-136.3874	22139.79758702389
40	4	4.519111199631761	6.937492	-108.7621	30126.37950008169
40	5	4.988478310567927	8.895506	-859.9328	214.89855410579108
40	6	4.433814415069118	6.939996	308.2442	16000.731638842686
40	7	4.458864191560667	7.017938	-454.1006	13012.268264780281
40	8	4.4071073204274605	7.116263	-1231.6803	415.71541532982224
41	1	4.2914728716302575	7.2922935	1880.1801	4926.769934731393
41	2	4.45719846247427	7.020206	-636.5895	805.8187001479637
41	3	4.663773369017459	7.0844307	-1183.7614	-1859.1885754068073
41	4	4.466420355697189	7.0459194	-603.6834	995.2790530983074
41	5	4.9047444052390246	7.454353	-1247.2116	-681.4416224531883
41	6	4.3627029982880705	7.4653797	-797.6545	10.996176137202216
41	7	4.453853142134305	7.1845355	-45.3344	1912.0567417811505
41	8	4.506575207650367	7.0242534	-1707.2599	-4102.637834787788
42	1	4.456942038987061	7.035567	-281.0521	60788.841848408265
42	2	4.32587632979093	7.2309694	521.7527	9901.258679520046
42	3	4.153157610900233	7.186457	-121.6972	4715.98732204379
42	4	4.350433483355575	7.0676785	753.283	19305.353891967807
42	5	4.435665653713223	7.3417964	800.7277	7694.84059383596
42	6	4.420084598506083	7.271387	-680.9607	4279.448163327639
42	7	4.23343030151146	7.3892508	-715.2731	2306.0496176790584
42	8	4.717424733090218	7.0265965	-1557.7356	685.0603288961503
43	1	4.506583547513378	6.8105497	-355.0777	4179.412814568757
43	2	4.0484042168861265	7.3604703	-418.4874	1522.761904493547
43	3	4.6504979016081185	7.054261	-1920.7956	-5844.619026838657
43	4	4.677172468146171	7.313331	306.4437	5230.728046917859
43	5	4.557248719507929	6.898125	-18.7882	7834.005187798664
43	6	4.676627158198288	7.1952615	-2034.3404	-2786.0289934818957
43	7	4.6880097642309435	7.057057	-777.695	15681.180141611208
43	8	4.5421698120724425	7.0042744	-192.6669	7679.4941606514685
44	1	4.635170980064912	7.2896857	-952.4964	3792.0310739433608
44	2	4.647394129322687	7.135869	-3034.021	-11378.17112048464
44	3	5.016381167281722	7.4754276	-1585.7986	670.5456568499759
44	4	3.9025136696699456	7.307872	1978.475	5520.624574751232
44	5	4.576983035875624	6.877175	-979.2023	5935.18855313944
44	6	5.362614572938161	7.8533564	-1787.327	129.4685340688205
44	7	4.548798700653127	7.2436957	237.2336	7070.341796654561
44	8	4.578098456099749	6.9549713	-1445.3034	4520.547558974705
45	1	4.766364360704465	7.1160893	-1008.2435	1819.3608663879083
45	2	4.129867290417893	7.477658	1255.1202	3934.0853292879824
45	3	4.117637490202994	6.955259	619.0636	5217.625258252641
45	4	4.5368842359905	7.3473516	-86.9303	3144.783168759732
45	5	4.513919380751111	6.936024	-780.3294	21679.72168274656
45	6	4.54671304482442	6.8938303	-766.5479	11376.846889639684
45	7	4.39494320642812	6.888359	-1372.2069	438.40461978687995
45	8	4.519719833231391	6.894698	-1141.4688	3662.984823706938
46	1	4.423604026567997	6.838364	-1380.3634	-111.47868383909227
46	2	4.604926425131252	7.1592135	-1000.1665	1223.2468855417142
46	3	4.655899510828109	7.003582	-1366.325	23.179498741125933
46	4	4.08009060970344	7.224633	-1770.1162	-844.5224369804861
46	5	4.242866386699228	7.055767	-769.7518	2766.2249972262657
46	6	4.3071934404912975	7.976246	-1032.5418	314.01667283795484
46	7	4.036194859914934	7.4304814	661.8093	3028.727360198549
46	8	4.427559228260775	7.391232	-162.4668	2421.68493690473
47	1	4.386727612223222	7.3297777	-120.7975	2382.739015591631
47	2	3.9544098075577314	7.7127094	-137.2393	1206.7831056030511
47	3	4.39342060973093	7.204842	-864.0302	1144.5528487706124
47	4	4.879906734169895	7.348567	-924.3239	721.6613864794746
47	5	3.6699392877129875	7.170091	-60.8988	1685.100986837178
